rho,W_statusquo_p50_B,W_norway_p50_B,gap_p10_B,gap_p50_B,gap_p90_B,P(gap>0)
0.0,162.6020494826573,220.13099053229308,-10.878421635336325,56.58035631365126,174.50537386415493,0.847
0.03,230.26989844287357,251.72553439372706,-50.829616916877626,20.876488013717683,144.72979530318545,0.6186
0.05,302.45296279865505,282.0192494285143,-95.58855069285003,-20.374360667545318,108.63627559812458,0.397
0.08,480.05792359155726,350.0580822720656,-212.56135475058855,-128.56987667495113,9.942753786275977,0.1143
0.1,672.2652424780679,417.2266376531295,-344.85769193638487,-251.5625499159175,-103.52785735715122,0.0304
0.15,1664.9983673183979,723.4512391522087,-1071.8598693842923,-926.898538816981,-731.3205478469521,0.0004
