scenario,cash_mean_2026,cash_mean_2031plus,avg_cash_real_2026_2055,statutory_cash_p50_B,statutory_port_p50_B,norway_cash_p50_B,norway_port_p50_B,statutory_port_minus_cash_medianW_B,P(statutory_port>cash),statutory_cash_terminal_balance_p50_B,statutory_port_terminal_balance_p50_B,rho_star
flat_base_0.5pct,0.005,0.005,0.005000000000000001,302.45296279865505,328.5035834568716,221.32063788137458,282.0192494285143,26.05062065821653,0.8071,52.62967433516449,78.05175706676191,0.041179003169681885
flat_current_real,0.014,0.014,0.014000000000000004,313.3004719177911,328.5035834568716,244.9375792699532,282.0192494285143,15.203111539080453,0.6828,63.41399309071403,78.05175706676191,0.03567416099735965
declining_to_zero,0.014,0.0,0.0013999999999999998,297.4737595291596,328.5035834568716,210.36535011413827,282.0192494285143,31.02982392771196,0.8604,47.74773624971429,78.05175706676191,0.04351664074513793
