allocation,cum_wd_amended_5y_p50_B,cum_wd_original_5y_p50_B,cum_wd_amended_10y_p50_B,cum_wd_original_10y_p50_B,cum_wd_amended_30y_p50_B,cum_wd_original_30y_p50_B,terminal_balance_amended_p50_B,terminal_balance_original_p50_B,forgone_terminal_balance_p50_B,W_amended_minus_original_rho00_p50_B,W_amended_minus_original_rho03_p50_B,W_amended_minus_original_rho05_p50_B,W_amended_minus_original_rho08_p50_B,W_amended_minus_original_rho10_p50_B,W_amended_minus_original_rho15_p50_B,rho_star_amendment
cash,16.79305053218,6.587672180988775,38.83439604223972,13.704543938673782,109.90642909427318,40.47692334261041,52.62967433516449,127.81202592397251,75.18235158880802,-5.647106882694092,37.94589985480244,84.40246408133402,198.0798407727209,320.30401005992377,947.6467642529058,0.0050050944182203246
port,16.79305053218,6.587672180988775,38.83439604223972,13.704543938673782,109.90642909427318,40.47692334261041,78.05175706676191,182.54037684037922,104.48861977361732,-33.71486847839894,9.569843296617233,55.21295415646558,166.71956601530525,286.8171311449469,908.6284369824883,0.024638446176841168
